Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
61 WIDOW SWEETS RD ,06/18/2018,362500.00,Residential,Colonial,2245,134600,06
41 NELSON DR ,06/22/2018,730000.00,Residential,Colonial,4411,540144,07
200 NARROW LN ,11/05/2018,380000.00,Residential,Ranch,1744,80586,06
78 BLACK PLAIN RD ,11/01/2018,285000.00,Residential,Ranch,1040,37026,05
120 BLACK PLAIN RD ,08/30/2018,350000.00,Residential,Cape,2203,35980,05
212 NOOSENECK HILL RD ,11/09/2018,326108.00,Residential,R Ranch,1620,24001,04
188 RIDGE DR ,07/10/2018,500000.00,Residential,Colonial,2242,130680,10
142 RIDGE DR ,04/27/2018,485000.00,Residential,Contemporary,2730,130680,10
641 TEN ROD RD ,06/28/2018,299900.00,Residential,Ranch,1220,33018,05
94 NEW RD ,07/16/2018,435000.00,Residential,Custom,3755,100188,07
60 LANTERN LN ,11/30/2018,389000.00,Residential,Colonial,1872,43560,06
1609 TEN ROD RD ,11/16/2018,156000.00,Residential,Ranch,2462,248292,05
89 SODOM TR ,08/22/2018,275000.00,Residential,Contemporary,1304,1769842,05
544 TEN ROD RD ,11/28/2018,350000.00,Residential,Duplex,2371,78408,05
158 PURGATORY RD ,04/18/2018,415000.00,Residential,Colonial,2512,120225,06
154 PURGATORY RD ,08/30/2018,615000.00,Residential,Contemporary,1636,43298,06
10 LOCUST VALLEY RD ,03/01/2018,385000.00,Residential,Cape,2023,174240,07
239 NEW RD ,07/26/2018,390000.00,Residential,Contemporary,2690,25700,07
31 PINECREST DR ,10/18/2018,370000.00,Residential,R Ranch,1220,17859,05
27 PINECREST DR ,04/19/2018,337200.00,Residential,R Ranch,1132,12501,05
1 OAKHILL DR ,09/21/2018,344900.00,Residential,Ranch,1364,12371,05
1 OAKHILL DR ,01/11/2018,60000.00,Residential,Ranch,1364,12371,05
72 PINOAK DR ,08/07/2018,258900.00,Residential,Cape,1296,12501,05
106 TEN ROD RD ,08/30/2018,1780000.00,Residential,Custom,7798,392475,05
604 GARDNER RD ,10/05/2018,280000.00,Residential,R Ranch,1242,47916,06
350 WILLIAM REYNOLDS RD ,09/25/2018,77000.00,Residential,Cape,1638,28139,06
39 ROBIN DR ,09/27/2018,274000.00,Residential,Ranch,1008,11979,05
21 PARTRIDGE DR ,06/14/2018,262900.00,Residential,R Ranch,1028,11979,05
38 MOCKINGBIRD DR ,06/22/2018,255000.00,Residential,R Ranch,946,18730,05
339 HOG HOUSE HILL RD ,08/29/2018,359900.00,Residential,Cape,1354,181209,05
547 MAIL RD ,02/28/2018,170000.00,Residential,Ranch,960,13982,05
126 MAIL RD ,05/17/2018,515000.00,Residential,Contemporary,2920,261360,06
66 BEECHWOOD HILL TR ,02/27/2018,505000.00,Residential,Contemporary,2459,124146,09
3 WOODBINE LN ,11/05/2018,389000.00,Residential,Colonial,1924,88862,10
33 AZALEA AV ,04/30/2018,750000.00,Residential,Colonial,3281,87555,10
24 JEANNETTE CT ,10/05/2018,585000.00,Residential,Ranch,2032,90604,08
57 LAUREL RD ,08/29/2018,434000.00,Residential,Colonial,1908,87991,08
313 YAWGOO VALLEY RD ,01/31/2018,450000.00,Residential,Colonial,2496,95832,06
14 ERIC JOHN CT ,10/09/2018,455000.00,Residential,Colonial,2600,87120,10
136 MILL POND RD ,01/18/2018,425000.00,Residential,Colonial,2706,88426,07
163 MILL POND RD ,08/28/2018,274900.00,Residential,Contemporary,1158,88426,07
272 WOLF ROCK RD ,04/16/2018,385000.00,Residential,Duplex,1820,82764,05
99 WOLF ROCK RD ,01/31/2018,285000.00,Residential,Ranch,996,217800,05
237 STONY FORT RD ,09/06/2018,255000.00,Residential,Cape,1472,174980,07
5 PRESERVATION DR ,11/06/2018,470000.00,Residential,Colonial,2320,48133,16
113 WEST SHORE DR ,12/18/2018,298000.00,Residential,R Ranch,1200,13068,03
96 WEST SHORE DR ,11/01/2018,399000.00,Residential,Ranch,1800,26005,W2
20 WEST SHORE DR ,11/20/2018,305000.00,Residential,Colonial,2016,12153,W2
32 EAST SHORE DR ,10/29/2018,275000.00,Residential,Cape,1263,14984,03
24 GENTRY CIR ,05/16/2018,385000.00,Residential,Colonial,1872,131115,08
71 HOPKINS HILL RD ,12/12/2018,419000.00,Residential,Colonial,2324,296208,06
97 SCENIC WAY ,05/22/2018,440000.00,Residential,Colonial,1896,23870,11
39 SCENIC WAY ,05/23/2018,469900.00,Residential,Colonial,1867,39029,11
10 SCENIC WAY ,05/29/2018,417000.00,Residential,Colonial,1723,14723,11
36 SCENIC WAY ,07/16/2018,445000.00,Residential,Colonial,1780,15681,11
34 KAYLA RICCI WAY ,01/03/2018,650000.00,&nbsp;,Colonial,3280,179467,16
140 TEN ROD RD ,08/30/2018,730000.00,Residential,Custom,6314,1433995,05
11 SANFORD FARM RD ,07/19/2018,130000.00,Residential,Colonial,3194,97138,10
697 GARDNER RD ,11/20/2018,66500.00,Residential,Ranch,2004,168098,04
697 GARDNER RD ,11/20/2018,66500.00,Residential,Ranch,2004,168098,04
697 GARDNER RD ,06/11/2018,260000.00,Residential,Ranch,2004,168098,04
687 GARDNER RD ,06/11/2018,260000.00,Residential,Colonial,2248,111513,04
