Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
61 WIDOW SWEETS RD ,06/01/2016,368000.00,Residential,Colonial,2245,134600,06
55 FALCON RIDGE DR,03/02/2016,410000.00,Residential,Colonial,2619,147668,08
121 STONY LN ,12/20/2016,365000.00,Residential,Conventional,2256,161172,06
50 RIDGE DR ,07/05/2016,537500.00,Residential,Contemporary,2746,152460,10
395 WIDOW SWEETS RD ,04/15/2016,390000.00,Residential,Colonial,1872,351921,06
645 TEN ROD RD ,12/22/2016,301276.00,Residential,R Ranch,1120,25003,05
125 LANTERN LN,02/29/2016,345000.00,Residential,Colonial,2240,43560,06
115 LANTERN LN,11/21/2016,378000.00,Residential,Colonial,2676,43560,06
2224 TEN ROD RD ,06/17/2016,355000.00,Residential,Ranch,2386,217800,05
702 GARDNER RD,07/11/2016,285000.00,Residential,Ranch,1494,45738,06
398 TEN ROD RD,11/18/2016,402500.00,Residential,Cape,2172,115303,05
37 CEDAR GROVE DR ,08/24/2016,263000.00,Residential,R Ranch,1242,14679,05
108 PINECREST DR ,11/22/2016,328385.00,Residential,R Cape,1456,12501,05
55 HEMLOCK DR,06/23/2016,300000.00,Residential,Colonial,1344,12501,05
28 TARBOX DR ,07/18/2016,265000.00,Residential,Cape,1278,13590,05
275 HALLVILLE RD ,06/14/2016,305000.00,Residential,Ranch,1400,121968,05
49 SHEFFIELD HILL RD,07/01/2016,324900.00,Residential,Cape,1920,177724,07
5 PARTRIDGE DR,01/28/2016,265000.00,Residential,R Ranch,1080,12501,05
32 MOCKINGBIRD DR,03/23/2016,253000.00,Residential,Colonial,1964,17903,05
129 LIBERTY CHURCH RD,06/29/2016,266400.00,Residential,Ranch,1546,74052,06
40 SHANNON RD,11/29/2016,399900.00,Residential,Colonial,2408,63597,08
11 AZALEA AV,08/31/2016,411000.00,Residential,Colonial,2384,87555,10
135 LIBERTY RD,02/12/2016,382500.00,Residential,Colonial,1932,391604,07
5 MILL POND RD,12/21/2016,407000.00,Residential,Contemporary,1874,87991,07
67 MILL POND RD,11/15/2016,338000.00,Residential,Contemporary,2119,87555,07
243 GLEN ROCK RD,10/28/2016,296250.00,Residential,Split Level,1013,52272,05
639 SOUTH COUNTY TR,02/19/2016,316000.00,Residential,2-3 Family,2263,100188,05
199 YAWGOO VALLEY RD ,05/19/2016,296727.00,Residential,Contemporary,1800,87120,06
277 YAWGOO VALLEY RD,09/13/2016,278500.00,Residential,R Ranch,1132,47916,06
40 LAUREL RD,06/17/2016,343500.00,Residential,Colonial,1908,91476,08
76 MILL POND RD,11/30/2016,417500.00,Residential,Contemporary,2650,112820,07
100 MILL POND RD ,10/07/2016,580000.00,Residential,Contemporary,2046,254826,07
38 BRIARWOOD HILL RD ,05/26/2016,392000.00,Residential,Colonial,2082,128502,08
62 WEST SHORE DR ,08/26/2016,346000.00,Residential,Conventional,2307,16204,W2
42 WEST SHORE DR,11/28/2016,258000.00,Residential,Colonial,960,8755,W2
10 WEST SHORE DR,10/11/2016,325000.00,Residential,Ranch,1440,12196,W2
28 TUPELO DR,09/14/2016,333333.00,Residential,Colonial,1766,98010,09
11 ESTATE DR,07/11/2016,529900.00,Residential,Cape,3773,192056,08
68 BROOKRIDGE DR,11/15/2016,625000.00,Residential,Colonial,2874,167270,09
68 SCHOOL LAND WOODS RD,05/20/2016,507000.00,Residential,Contemporary,1906,175111,06
2 TIMBER LANE ,07/01/2016,350000.00,Residential,Colonial,1514,12763,11
4 TIMBER LANE ,05/26/2016,347000.00,Residential,Colonial,1514,23522,11
8 TIMBER LANE ,07/25/2016,415000.00,Residential,Colonial,1790,34935,11
5 TIMBER LANE ,03/31/2016,410000.00,Residential,Colonial,1930,14897,11
1 TIMBER LANE ,12/06/2016,420000.00,Residential,Colonial,2040,13416,11
61 SCENIC WAY,12/08/2016,396000.00,Residential,Colonial,1514,22694,11
3 SCENIC WAY,07/01/2016,387000.00,Residential,Colonial,1734,20429,11
