Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
41 CHAPPELL PLACE LN ,09/29/2020,526888.00,Residential,Colonial,2936,131986,07
1 WIDOW SWEETS RD ,08/07/2020,522500.00,Residential,Ranch,1855,455202,06
350 STONY LN ,07/16/2020,643000.00,Residential,Custom,2067,217800,05
149 STONY LN ,01/07/2020,270000.00,Residential,R Ranch,1289,130680,06
446 AUSTIN FARM RD ,04/20/2020,442000.00,Residential,Contemporary,2476,623343,06
370 AUSTIN FARM RD ,08/04/2020,580000.00,Residential,Log,2384,251776,06
61 BLACK PLAIN RD ,12/18/2020,312000.00,Residential,Cape,1269,117612,05
319 NOOSENECK HILL RD ,03/19/2020,268500.00,Residential,Cape,1632,29098,04
16 BLACK PLAIN RD ,10/13/2020,224000.00,Residential,Ranch,1031,40423,05
50 RIDGE DR ,11/09/2020,560000.00,Residential,Contemporary,2746,152460,10
659 TEN ROD RD ,05/14/2020,265000.00,Residential,Colonial,1239,30012,05
653 TEN ROD RD ,06/30/2020,425000.00,Residential,Contemporary,2150,27007,05
188 PARDON JOSLIN RD ,12/16/2020,829000.00,Residential,Contemporary,3092,260924,08
270 WIDOW SWEETS RD ,06/18/2020,325000.00,Residential,Cape,1638,63162,06
181 NEW RD ,12/02/2020,627000.00,Residential,Contemporary,3124,121968,07
88 NEW RD ,11/07/2020,430000.00,Residential,Colonial,2008,95832,07
42 BROOKRIDGE DR ,06/25/2020,870000.00,Residential,Contemporary,3444,183387,09
25 MARYANN DR ,08/03/2020,445000.00,Residential,Cape,2285,43560,06
368 ESCOHEAG HILL RD ,08/05/2020,382000.00,Residential,R Ranch,1288,226512,06
1040 TEN ROD RD ,05/21/2020,430000.00,Residential,Contemporary,2610,132422,05
720 TEN ROD RD ,08/05/2020,254000.00,Residential,R Ranch,1284,65340,05
720 TEN ROD RD ,06/29/2020,251000.00,Residential,R Ranch,1284,65340,05
384 TEN ROD RD ,01/10/2020,420000.00,Residential,Cape,2054,87120,05
119 LOCUST VALLEY RD ,12/28/2020,610000.00,Residential,Colonial,2752,261360,07
293-A TEN ROD RD ,12/07/2020,300000.00,Residential,Colonial,2459,222156,05
221 NEW RD ,10/01/2020,440000.00,Residential,Contemporary,2381,47916,07
237 TEN ROD RD ,06/26/2020,390000.00,Residential,Ranch,1796,104544,05
41 OAKHILL DR ,08/28/2020,467000.00,Residential,R Ranch,1760,64643,05
51 CEDAR GROVE DR ,01/31/2020,265000.00,Residential,Ranch,1040,12501,05
76 CEDAR GROVE DR ,10/19/2020,50000.00,Residential,R Ranch,1276,12501,05
98 CEDAR GROVE DR ,08/27/2020,425000.00,Residential,R Ranch,1336,39683,05
45 HEMLOCK DR ,10/29/2020,303000.00,Residential,Ranch,1112,12501,05
1 HEMLOCK DR ,09/28/2020,450000.00,Residential,Ranch,2064,15202,05
13 EVERGREEN DR ,10/28/2020,312000.00,Residential,Ranch,1144,11979,05
1 PINOAK DR ,07/15/2020,375000.00,Residential,Colonial,1728,13590,05
8 EVERGREEN DR ,10/23/2020,290000.00,Residential,Ranch,960,12501,05
280 HALLVILLE RD ,11/13/2020,525000.00,Residential,Colonial,2697,174675,05
292 HALLVILLE RD,12/09/2020,300000.00,Residential,Colonial,1963,182080,05
15 SHEFFIELD HILL RD ,09/01/2020,525000.00,Residential,Colonial,3020,174675,07
10 OAKHILL DR ,09/11/2020,369000.00,Residential,R Ranch,1144,16030,05
11 WILLIAM REYNOLDS RD ,01/16/2020,485000.00,Residential,Cape,2217,47916,06
90 MOCKINGBIRD DR ,07/24/2020,380000.00,Residential,R Ranch,1108,27878,05
1 MOCKINGBIRD DR ,11/20/2020,385000.00,Residential,R Ranch,1536,11979,05
18 PHEASANT DR ,03/18/2020,312500.00,Residential,R Ranch,1082,12501,05
9 PARTRIDGE DR ,08/05/2020,292000.00,Residential,Ranch,1008,12501,05
6 PARTRIDGE DR ,11/20/2020,390000.00,Residential,R Ranch,1040,12501,05
10 PARTRIDGE DR ,04/04/2020,299900.00,Residential,A-Frame,1332,12501,05
20 MOCKINGBIRD DR ,04/09/2020,370000.00,Residential,R Ranch,1144,23086,05
28 MOCKINGBIRD DR ,04/29/2020,292000.00,Residential,Cape,1194,15638,05
9 SOUTH COUNTY TR ,12/14/2020,328000.00,Residential,Ranch,976,24175,05
379 HOG HOUSE HILL RD ,08/14/2020,312000.00,Residential,Ranch,1444,87120,05
255 GARDNER RD ,03/30/2020,440000.00,Residential,Contemporary,1160,1433124,05
126 MAIL RD ,07/10/2020,535000.00,Residential,Contemporary,2920,261360,06
74 MILL POND RD ,10/13/2020,510000.00,Residential,Colonial,2790,87120,07
40 MILL POND RD ,03/03/2020,350000.00,Residential,Cape,2058,90169,07
740 SOUTH COUNTY TR ,07/17/2020,405000.00,Residential,Ranch,2184,233481,05
260 YAWGOO VALLEY RD ,09/17/2020,355000.00,Residential,Cape,1428,43560,06
267 YAWGOO VALLEY RD ,07/29/2020,350000.00,Residential,R Ranch,1189,47916,06
105 BEECHWOOD HILL TR ,05/28/2020,480000.00,Residential,Ranch,2668,90604,09
235 YAWGOO VALLEY RD ,03/13/2020,599000.00,Residential,Ranch,2032,142876,06
393 SLOCUM RD ,01/14/2020,280000.00,Residential,Colonial,1234,17162,04
105 MILL POND RD ,06/25/2020,399500.00,Residential,R Ranch,1714,101059,07
40 WEST SHORE DR ,03/09/2020,155000.00,Residential,Cottage,904,8973,W2
54 EAST SHORE DR ,10/19/2020,365000.00,Residential,R Ranch,1104,23696,03
52 EAST SHORE DR ,06/08/2020,252900.00,Residential,Contemporary,1160,39726,03
140 WOODY HILL RD ,10/30/2020,230000.00,Residential,Conventional,1732,311889,06
290 SHEFFIELD HILL RD ,10/28/2020,529000.00,Residential,Contemporary,3040,181645,07
150 SKUNK HILL RD ,05/08/2020,392500.00,Residential,Split Level,1820,261360,06
291 GARDNER RD ,10/02/2020,410000.00,Residential,Colonial,1536,87120,05
249 PURGATORY RD ,03/06/2020,429000.00,Residential,Colonial,2080,235224,06
232 WOLF ROCK RD ,02/28/2020,450000.00,Residential,Colonial,2200,174240,05
222 KINGSTON RD ,07/21/2020,700000.00,Residential,Cape,2166,503118,06
75 SCENIC WAY ,08/14/2020,455000.00,Residential,Colonial,1512,20691,11
49 SCENIC WAY ,08/07/2020,480000.00,Residential,Colonial,1928,12283,11
76 KAYLA RICCI WAY ,08/13/2020,775000.00,Residential,Colonial,3594,184694,16
52 KAYLA RICCI WAY ,07/31/2020,899000.00,Residential,Contemporary,3420,178596,16
693 GARDNER RD ,01/24/2020,445790.00,Residential,Colonial,1812,111295,04
685 GARDNER RD ,03/17/2020,436000.00,Residential,Colonial,1920,111165,04
