Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
41 CHAPPELL PLACE LN ,04/12/2017,455000.00,Residential,Colonial,2936,131986,07
142 WIDOW SWEETS RD ,05/08/2017,289000.00,Residential,R Ranch,1962,60984,06
45 FALCON RIDGE DR ,06/02/2017,455000.00,Residential,Contemporary,2089,150717,08
39 NEW RD ,10/13/2017,339000.00,Residential,R Ranch,1352,44431,07
125 STONY LN ,07/14/2017,300000.00,Residential,Ranch,1720,42732,06
105 STONY LN ,02/03/2017,370000.00,Residential,Colonial,2330,130680,06
350 AUSTIN FARM RD ,05/03/2017,540000.00,Residential,Contemporary,4515,268329,06
103 BLACK PLAIN RD ,09/12/2017,175000.00,Residential,Ranch,1042,32452,05
61 BLACK PLAIN RD ,08/04/2017,246000.00,Residential,Cape,1269,117612,05
100 AUSTIN FARM RD ,03/22/2017,230000.00,Residential,Colonial,1550,222156,06
231 NOOSENECK HILL RD ,06/30/2017,229950.00,Residential,Cape,1260,43560,04
115 RIDGE DR ,01/03/2017,489000.00,Residential,Contemporary,2808,130680,10
251 WIDOW SWEETS RD ,05/19/2017,426000.00,Residential,Cape,3013,139392,06
442 WIDOW SWEETS RD ,10/13/2017,425000.00,Residential,Ranch,2460,174240,06
28 REUBEN BROWN LN ,05/15/2017,545000.00,Residential,Contemporary,2668,179467,08
64 REUBEN BROWN LN ,08/07/2017,465000.00,Residential,Colonial,2042,198633,08
106 NEW RD ,05/31/2017,392000.00,Residential,Colonial,2058,104544,07
76 NEW RD ,10/18/2017,370000.00,Residential,Cape,2100,91476,07
25 BROOKRIDGE DR ,03/06/2017,435000.00,Residential,Cape,2060,132858,09
2552E TEN ROD RD ,09/14/2017,364000.00,Residential,Colonial,2088,590717,05
364 ESCOHEAG HILL RD ,02/16/2017,263000.00,Residential,Colonial,1372,226512,06
686 GARDNER RD ,03/22/2017,275000.00,Residential,Ranch,1621,44866,06
1030 TEN ROD RD ,07/05/2017,392000.00,Residential,Contemporary,2276,217364,05
454 TEN ROD RD ,01/13/2017,299000.00,Residential,Colonial,2706,243936,05
10 LOCUST VALLEY RD ,08/11/2017,369900.00,Residential,Cape,2023,174240,07
119 LOCUST VALLEY RD ,09/15/2017,470000.00,Residential,Colonial,2752,261360,07
227 NEW RD ,09/01/2017,335000.00,Residential,Ranch,2288,19602,07
54 SOUTH RD ,04/14/2017,250000.00,Residential,Ranch,1248,12501,05
85 CEDAR GROVE DR ,10/10/2017,326000.00,Residential,R Ranch,1226,25003,05
29 CEDAR GROVE DR ,12/15/2017,239000.00,Residential,2-3 Family,1493,12501,05
54 HEMLOCK DR ,12/08/2017,255000.00,Residential,Ranch,1008,18730,05
604 GARDNER RD ,05/16/2017,210000.00,Residential,R Ranch,1242,47916,06
24 DOLLY POND RD ,12/28/2017,315000.00,Residential,R Ranch,1168,65340,06
219 HALLVILLE RD #A,11/01/2017,425000.00,Residential,Contemporary,2524,182952,05
90 MOCKINGBIRD DR ,12/21/2017,314500.00,Residential,R Ranch,1108,27878,05
22 PARTRIDGE DR ,08/16/2017,442000.00,Residential,R Ranch,1828,26920,05
71 MOCKINGBIRD DR ,08/02/2017,250000.00,Residential,R Ranch,1125,39204,05
42 MOCKINGBIRD DR ,09/18/2017,241800.00,Residential,Ranch,1088,12501,05
46 MOCKINGBIRD DR ,12/01/2017,300650.00,Residential,R Ranch,1196,12501,05
350 MAIL RD ,01/17/2017,235000.00,Residential,Ranch,1104,217800,06
499 MAIL RD ,06/02/2017,299000.00,Residential,Ranch,1292,26136,05
505 MAIL RD ,07/18/2017,289000.00,Residential,Cape,1452,179902,05
129 LIBERTY RD ,03/31/2017,825000.00,Residential,Colonial,4243,1019304,07
49 RAYMOND POTTER LN ,05/15/2017,359500.00,Residential,Contemporary,1662,506167,06
40 KIMBERLY HOPE LN ,09/26/2017,525000.00,Residential,Cape,2797,174240,10
393 SLOCUM RD ,07/31/2017,275000.00,Residential,Colonial,1234,17162,04
259 WOLF ROCK RD ,02/15/2017,250000.00,Residential,Cape,1344,78408,05
221 STONY FORT RD ,06/02/2017,309000.00,Residential,Colonial,1560,91476,07
4 TOP HILL DR ,08/16/2017,359000.00,Residential,Colonial,2050,39900,09
147 EAST SHORE DR ,08/16/2017,285000.00,Residential,Cottage,1004,9713,W2
24 WOLF ROCK RD ,12/21/2017,315000.00,Residential,Ranch,1259,283140,05
74 ROLLING HILL DR ,01/10/2017,438500.00,Residential,Colonial,2544,174240,08
25 COBBLESTONE HILL RD ,10/02/2017,580000.00,Residential,Cape,2967,130680,08
6 COBBLESTONE HILL RD ,04/27/2017,462500.00,Residential,Colonial,2659,157687,08
168A KINGSTON RD ,01/31/2017,585000.00,Residential,Colonial,2523,706978,06
168B KINGSTON RD ,08/22/2017,814000.00,Residential,Colonial,4599,459558,06
25 SHANNON RD ,09/01/2017,500000.00,Residential,Colonial,2613,64904,08
10 TIMBER LANE ,04/21/2017,384000.00,Residential,Colonial,1525,41556,11
77 SCENIC WAY ,02/01/2017,395500.00,Residential,Colonial,1514,16988,11
75 SCENIC WAY ,07/03/2017,395000.00,Residential,Colonial,1512,20691,11
57 SCENIC WAY ,05/25/2017,419900.00,Residential,Colonial,1795,18905,11
49 SCENIC WAY ,10/20/2017,454500.00,Residential,Colonial,1928,12283,11
110 SCENIC WAY ,04/07/2017,441000.00,Residential,Colonial,2020,12283,11
4 KAYLA RICCI WAY ,06/07/2017,680000.00,Residential,Colonial,3336,179031,16
17 LAUREL RD ,06/30/2017,303000.00,Residential,R Ranch,1144,87555,06
