Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
51 AUSTIN FARM RD,07/08/2015,275000.00,Residential,Colonial,1718,43560,06
45 HILLSIDE DR,06/16/2015,385000.00,Residential,Cape,2352,262231,07
61 WIDOW SWEETS RD ,05/12/2015,320000.00,Residential,Colonial,2245,134600,06
46 FALCON RIDGE DR,06/24/2015,362500.00,Residential,Colonial,2352,135471,08
200 STONY LN ,04/20/2015,134400.00,Residential,Salt Box,2307,82764,06
15 LANTERN LN,02/11/2015,330000.00,Residential,Cape,2812,47916,06
212 NOOSENECK HILL RD ,10/30/2015,270000.00,Residential,R Ranch,1620,24001,04
154 RIDGE DR ,10/26/2015,420000.00,Residential,Colonial,2316,130680,10
165 RIDGE DR ,05/12/2015,484000.00,Residential,Contemporary,2984,135036,10
107 RIDGE DR,08/28/2015,500000.00,Residential,Colonial,2880,130680,10
951C TEN ROD RD,08/27/2015,252500.00,Residential,R Ranch,1184,317116,05
409 WIDOW SWEETS RD ,02/27/2015,340000.00,Residential,Colonial,2840,195845,06
86 LANTERN LN ,09/30/2015,275000.00,Residential,Cape,1794,43560,06
35 QUEENS FORT LN,07/30/2015,374500.00,Residential,Colonial,2752,47916,06
2653 TEN ROD RD,08/21/2015,338000.00,Residential,Cape,2115,247943,05
1656 TEN ROD RD ,03/09/2015,100000.00,Residential,Ranch,2697,1393920,05
1536 TEN ROD RD,10/23/2015,340000.00,Residential,Colonial,1842,488307,05
45 TRIPPS CORNER RD,06/30/2015,270000.00,Residential,Salt Box,1336,130680,06
115 TRIPPS CORNER RD,06/30/2015,260000.00,Residential,Colonial,2664,130680,06
660-660A TEN ROD RD ,10/14/2015,280000.00,Residential,Salt Box,1915,156816,05
35 HALLVILLE RD,06/05/2015,292000.00,Residential,Colonial,1792,243936,05
159 PURGATORY RD ,10/01/2015,339000.00,Residential,Ranch,1248,605484,06
20 QUAIL HOLLOW DR ,06/12/2015,440000.00,Residential,Colonial,2384,185565,07
54 SOUTH RD ,10/23/2015,200000.00,Residential,Ranch,1248,12501,05
18 BAYVIEW DR,06/02/2015,340000.00,Residential,R Cape,1638,13590,05
41 OAKHILL DR ,05/15/2015,375000.00,Residential,R Ranch,1760,64643,05
45 HEMLOCK DR ,02/27/2015,229900.00,Residential,Ranch,1112,12501,05
19 DOLLY POND RD,07/20/2015,325000.00,Residential,Contemporary,1924,78408,06
83 WILLIAM REYNOLDS RD,12/03/2015,587500.00,Residential,Colonial,3440,1023660,06
7 ROBIN DR ,05/28/2015,272400.00,Residential,R Ranch,1144,15986,05
20 MOCKINGBIRD DR ,11/13/2015,285000.00,Residential,R Ranch,1144,23086,05
28 MOCKINGBIRD DR ,04/06/2015,216000.00,Residential,Cape,1194,15638,05
42 MOCKINGBIRD DR ,05/18/2015,215000.00,Residential,Ranch,1088,12501,05
318 HOG HOUSE HILL RD,03/25/2015,317000.00,Residential,Colonial,1836,17859,05
18 WOODBINE LN,04/02/2015,339000.00,Residential,Colonial,2400,87991,10
54 BRIARWOOD HILL RD,08/25/2015,345000.00,Residential,Colonial,1916,104544,08
11 KIMBERLY HOPE LN,09/30/2015,335000.00,Residential,Colonial,1916,87120,10
29 TUPELO DR ,12/23/2015,372500.00,Residential,Salt Box,2618,87120,09
145 STONY FORT RD,03/30/2015,349900.00,Residential,Conventional,2459,55756,07
75 WEST SHORE DR,04/01/2015,189000.00,Residential,Ranch,1522,9278,03
52 EAST SHORE DR ,08/07/2015,180000.00,Residential,Contemporary,1160,39726,03
186 EAST SHORE DR,07/22/2015,154500.00,Residential,Ranch,1035,10018,03
142 WEST SHORE DR ,06/19/2015,293000.00,Residential,Cottage,1724,8842,W2
74 WIDOW SWEETS RD,07/29/2015,415622.00,Residential,Cape,3144,174240,06
249 PURGATORY RD ,07/14/2015,345000.00,Residential,Colonial,2080,235224,06
20 MIA CT,08/25/2015,469900.00,Residential,Colonial,2444,46347,16
83 SCENIC WAY,04/06/2015,415000.00,Residential,Colonial,1877,19732,11
